iso2,variable,year,country,value,type
AT,BEG,1995,Österreich,67.4955671558159,Gesamtwirtschaft
AT,BEG,1996,Österreich,68.4164063288263,Gesamtwirtschaft
AT,BEG,1997,Österreich,68.9819590433801,Gesamtwirtschaft
AT,BEG,1998,Österreich,70.8016868649645,Gesamtwirtschaft
AT,BEG,1999,Österreich,72.1821904718534,Gesamtwirtschaft
AT,BEG,2000,Österreich,73.8298854960685,Gesamtwirtschaft
AT,BEG,2001,Österreich,74.9038773938928,Gesamtwirtschaft
AT,BEG,2002,Österreich,76.4696397564963,Gesamtwirtschaft
AT,BEG,2003,Österreich,77.7982022330468,Gesamtwirtschaft
AT,BEG,2004,Österreich,79.4184675621536,Gesamtwirtschaft
AT,BEG,2005,Österreich,80.9700947542912,Gesamtwirtschaft
AT,BEG,2006,Österreich,83.4240538867556,Gesamtwirtschaft
AT,BEG,2007,Österreich,85.7603670177669,Gesamtwirtschaft
AT,BEG,2008,Österreich,88.5332819987704,Gesamtwirtschaft
AT,BEG,2009,Österreich,89.6390174426572,Gesamtwirtschaft
AT,BEG,2010,Österreich,90.466317172032,Gesamtwirtschaft
AT,BEG,2011,Österreich,92.2102524964873,Gesamtwirtschaft
AT,BEG,2012,Österreich,94.577791019871,Gesamtwirtschaft
AT,BEG,2013,Österreich,96.4526592752132,Gesamtwirtschaft
AT,BEG,2014,Österreich,98.1205862628775,Gesamtwirtschaft
AT,BEG,2015,Österreich,100,Gesamtwirtschaft
AT,BEG,2016,Österreich,102.273088321488,Gesamtwirtschaft
AT,BEG,2017,Österreich,103.831807400167,Gesamtwirtschaft
AT,BEG,2018,Österreich,106.712870467441,Gesamtwirtschaft
AT,BEG,2019,Österreich,109.568975667702,Gesamtwirtschaft
AT,BEG,2020,Österreich,111.890805067249,Gesamtwirtschaft
AT,BEG,2021,Österreich,114.833104815108,Gesamtwirtschaft
AT,BEG,2022,Österreich,120.225878933247,Gesamtwirtschaft
AT,BEG,2023,Österreich,128.107806187004,Gesamtwirtschaft
AT,BEG,2024,Österreich,137.203460426281,Gesamtwirtschaft
AT,BEG,2025,Österreich,141.593971159922,Gesamtwirtschaft
AT,LStK,1995,Österreich,79.0705826999135,Gesamtwirtschaft
AT,LStK,1996,Österreich,79.0196960105398,Gesamtwirtschaft
AT,LStK,1997,Österreich,78.5910899571439,Gesamtwirtschaft
AT,LStK,1998,Österreich,78.7725138848986,Gesamtwirtschaft
AT,LStK,1999,Österreich,78.7794368778215,Gesamtwirtschaft
AT,LStK,2000,Österreich,79.115868496415,Gesamtwirtschaft
AT,LStK,2001,Österreich,79.8018429897287,Gesamtwirtschaft
AT,LStK,2002,Österreich,80.3127393365768,Gesamtwirtschaft
AT,LStK,2003,Österreich,81.1936799590376,Gesamtwirtschaft
AT,LStK,2004,Österreich,81.1399885022055,Gesamtwirtschaft
AT,LStK,2005,Österreich,81.8953555233261,Gesamtwirtschaft
AT,LStK,2006,Österreich,83.073583144922,Gesamtwirtschaft
AT,LStK,2007,Österreich,83.8351636382319,Gesamtwirtschaft
AT,LStK,2008,Österreich,87.1667712310103,Gesamtwirtschaft
AT,LStK,2009,Österreich,90.9068599007026,Gesamtwirtschaft
AT,LStK,2010,Österreich,90.7591116777179,Gesamtwirtschaft
