land,iso2,year,value,type,country
EU-14,EU14,1995,0.560672612942686,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,1995,0.657133972189256,Gesamtwirtschaft,EU-27
Belgien,BE,1995,0.0187830662326086,Gesamtwirtschaft,Belgium
Bulgarien,BG,1995,0.00124394793966201,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,1995,0.0236300709057668,Gesamtwirtschaft,Czechia
Dänemark,DK,1995,0.00933658307187788,Gesamtwirtschaft,Denmark
Deutschland,DE,1995,0.315661407977191,Gesamtwirtschaft,Germany
Estland,EE,1995,0.000190743022686887,Gesamtwirtschaft,Estonia
Irland,IE,1995,0.00222639059629931,Gesamtwirtschaft,Ireland
Griechenland,EL,1995,0.00437237830600654,Gesamtwirtschaft,Greece
Spanien,ES,1995,0.0176702638694389,Gesamtwirtschaft,Spain
Frankreich,FR,1995,0.0480456215839366,Gesamtwirtschaft,France
Kroatien,HR,1995,0.00719718972850241,Gesamtwirtschaft,Croatia
Italien,IT,1995,0.0879178232220575,Gesamtwirtschaft,Italy
Zypern,CY,1995,0.00063634379923214,Gesamtwirtschaft,Cyprus
Lettland,LV,1995,0.000213408760550449,Gesamtwirtschaft,Latvia
Litauen,LT,1995,0.000367393185193257,Gesamtwirtschaft,Lithuania
Luxemburg,LU,1995,0.00150176757684365,Gesamtwirtschaft,Luxembourg
Ungarn,HU,1995,0.0243070508002144,Gesamtwirtschaft,Hungary
Niederlande,NL,1995,0.0294125921060327,Gesamtwirtschaft,Netherlands
Polen,PL,1995,0.0116503263357675,Gesamtwirtschaft,Poland
Portugal,PT,1995,0.0037075568397793,Gesamtwirtschaft,Portugal
Rumänien,RO,1995,0.0047671104183914,Gesamtwirtschaft,Romania
Slowenien,SI,1995,0.0131654722695163,Gesamtwirtschaft,Slovenia
Slowakei,SK,1995,0.00909230208108606,Gesamtwirtschaft,Slovakia
Finnland,FI,1995,0.00678892281590874,Gesamtwirtschaft,Finland
Schweden,SE,1995,0.0152482387447051,Gesamtwirtschaft,Sweden
Großbritannien,UK,1995,0.0335902303471961,Gesamtwirtschaft,United Kingdom
Norwegen,NO,1995,0.00534986470364193,Gesamtwirtschaft,Norway
Kanada,CA,1995,0.00604781947880816,Gesamtwirtschaft,Canada
Japan,JP,1995,0.0247512041875462,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,1995,0.0567978443091897,Gesamtwirtschaft,United States
EU-14,EU14,1996,0.538276406210893,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,1996,0.635944226154142,Gesamtwirtschaft,EU-27
Belgien,BE,1996,0.0180463774830121,Gesamtwirtschaft,Belgium
Bulgarien,BG,1996,0.00170709921508428,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,1996,0.0225996873580738,Gesamtwirtschaft,Czechia
Dänemark,DK,1996,0.00896936728340948,Gesamtwirtschaft,Denmark
Deutschland,DE,1996,0.295360442067394,Gesamtwirtschaft,Germany
Estland,EE,1996,0.00022488545586156,Gesamtwirtschaft,Estonia
Irland,IE,1996,0.00246451576852336,Gesamtwirtschaft,Ireland
Griechenland,EL,1996,0.0051092515485186,Gesamtwirtschaft,Greece
Spanien,ES,1996,0.01939186670701,Gesamtwirtschaft,Spain
Frankreich,FR,1996,0.0467414017899238,Gesamtwirtschaft,France
Kroatien,HR,1996,0.00771702064514443,Gesamtwirtschaft,Croatia
Italien,IT,1996,0.0866223504628806,Gesamtwirtschaft,Italy
Zypern,CY,1996,0.000797930695742879,Gesamtwirtschaft,Cyprus
Lettland,LV,1996,0.000313912790910025,Gesamtwirtschaft,Latvia
Litauen,LT,1996,0.000516932909839342,Gesamtwirtschaft,Lithuania
Luxemburg,LU,1996,0.00152707911118647,Gesamtwirtschaft,Luxembourg
Ungarn,HU,1996,0.0238417405897838,Gesamtwirtschaft,Hungary
Niederlande,NL,1996,0.0290791537285993,Gesamtwirtschaft,Netherlands
Polen,PL,1996,0.0125007289825098,Gesamtwirtschaft,Poland
Portugal,PT,1996,0.00378663672316862,Gesamtwirtschaft,Portugal
Rumänien,RO,1996,0.00534057185203757,Gesamtwirtschaft,Romania
Slowenien,SI,1996,0.0122016827691672,Gesamtwirtschaft,Slovenia
Slowakei,SK,1996,0.00990562667909359,Gesamtwirtschaft,Slovakia
Finnland,FI,1996,0.00599625376021466,Gesamtwirtschaft,Finland
Schweden,SE,1996,0.0151817097770524,Gesamtwirtschaft,Sweden
Großbritannien,UK,1996,0.0392887017054313,Gesamtwirtschaft,United Kingdom
Norwegen,NO,1996,0.00606766955524329,Gesamtwirtschaft,Norway
Kanada,CA,1996,0.00632117189374119,Gesamtwirtschaft,Canada
Japan,JP,1996,0.0258117060239027,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,1996,0.0614043632416165,Gesamtwirtschaft,United States
EU-14,EU14,1997,0.521360841553969,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,1997,0.627115465559997,Gesamtwirtschaft,EU-27
Belgien,BE,1997,0.0167021800445103,Gesamtwirtschaft,Belgium
Bulgarien,BG,1997,0.00175850359940733,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,1997,0.0224540036372183,Gesamtwirtschaft,Czechia
Dänemark,DK,1997,0.00933896470492455,Gesamtwirtschaft,Denmark
Deutschland,DE,1997,0.280423195339424,Gesamtwirtschaft,Germany
Estland,EE,1997,0.000275041080431024,Gesamtwirtschaft,Estonia
Irland,IE,1997,0.00302990389437212,Gesamtwirtschaft,Ireland
Griechenland,EL,1997,0.00472831685992282,Gesamtwirtschaft,Greece
Spanien,ES,1997,0.0204367696553294,Gesamtwirtschaft,Spain
Frankreich,FR,1997,0.0447630243423834,Gesamtwirtschaft,France
Kroatien,HR,1997,0.00986201308722936,Gesamtwirtschaft,Croatia
Italien,IT,1997,0.0880612577602831,Gesamtwirtschaft,Italy
Zypern,CY,1997,0.000558835380695133,Gesamtwirtschaft,Cyprus
Lettland,LV,1997,0.000339196919325321,Gesamtwirtschaft,Latvia
Litauen,LT,1997,0.000625534049769747,Gesamtwirtschaft,Lithuania
Luxemburg,LU,1997,0.00148826623007275,Gesamtwirtschaft,Luxembourg
Ungarn,HU,1997,0.0291986550293698,Gesamtwirtschaft,Hungary
Niederlande,NL,1997,0.025781157596194,Gesamtwirtschaft,Netherlands
Polen,PL,1997,0.0137554449475771,Gesamtwirtschaft,Poland
Portugal,PT,1997,0.00360523561102579,Gesamtwirtschaft,Portugal
Rumänien,RO,1997,0.00478886761457936,Gesamtwirtschaft,Romania
Slowenien,SI,1997,0.0119640981405422,Gesamtwirtschaft,Slovenia
Slowakei,SK,1997,0.0101744305198825,Gesamtwirtschaft,Slovakia
Finnland,FI,1997,0.00609017498148879,Gesamtwirtschaft,Finland
Schweden,SE,1997,0.0169123945340384,Gesamtwirtschaft,Sweden
Großbritannien,UK,1997,0.0452359308037678,Gesamtwirtschaft,United Kingdom
Norwegen,NO,1997,0.00632624964829994,Gesamtwirtschaft,Norway
Kanada,CA,1997,0.00705827154045359,Gesamtwirtschaft,Canada
Japan,JP,1997,0.0237762652174227,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,1997,0.0660552476069034,Gesamtwirtschaft,United States
EU-14,EU14,1998,0.542987128218605,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,1998,0.648476943812604,Gesamtwirtschaft,EU-27
Belgien,BE,1998,0.0169798208235822,Gesamtwirtschaft,Belgium
Bulgarien,BG,1998,0.00232016106055257,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,1998,0.0221873526237578,Gesamtwirtschaft,Czechia
Dänemark,DK,1998,0.00854595513624603,Gesamtwirtschaft,Denmark
Deutschland,DE,1998,0.289078487613878,Gesamtwirtschaft,Germany
Estland,EE,1998,0.000340846382662291,Gesamtwirtschaft,Estonia
Irland,IE,1998,0.00331843027620449,Gesamtwirtschaft,Ireland
Griechenland,EL,1998,0.00511691074373077,Gesamtwirtschaft,Greece
Spanien,ES,1998,0.0234306278212619,Gesamtwirtschaft,Spain
Frankreich,FR,1998,0.0469078030661048,Gesamtwirtschaft,France
Kroatien,HR,1998,0.00840366077059807,Gesamtwirtschaft,Croatia
Italien,IT,1998,0.0937661380347939,Gesamtwirtschaft,Italy
Zypern,CY,1998,0.000693421508346448,Gesamtwirtschaft,Cyprus
Lettland,LV,1998,0.00045204967072523,Gesamtwirtschaft,Latvia
Litauen,LT,1998,0.000673220048262021,Gesamtwirtschaft,Lithuania
Luxemburg,LU,1998,0.00182141570301206,Gesamtwirtschaft,Luxembourg
Ungarn,HU,1998,0.0287877284433205,Gesamtwirtschaft,Hungary
Niederlande,NL,1998,0.0263245560414745,Gesamtwirtschaft,Netherlands
Polen,PL,1998,0.0155456516073475,Gesamtwirtschaft,Poland
Portugal,PT,1998,0.00372516705324401,Gesamtwirtschaft,Portugal
Rumänien,RO,1998,0.00488640547519347,Gesamtwirtschaft,Romania
